Condition,Size,Experiment,Run,Precision,Recall,F1,MCC,Accuracy,Path
tsp_brain_low,4000,lr5e-6_bs20_ep10,DNA2_tsp_brain_low_4000_lr5e-6_bs20_ep10,71.17,71.06,71.02,42.23,71.06,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_low/4000/lr5e-6_bs20_ep10/results/DNA2_tsp_brain_low_4000_lr5e-6_bs20_ep10/eval_results.json
tsp_brain_low,4000,lr3e-6_bs20_ep10,DNA2_tsp_brain_low_4000_lr3e-6_bs20_ep10,70.41,70.26,70.2,40.67,70.26,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_low/4000/lr3e-6_bs20_ep10/results/DNA2_tsp_brain_low_4000_lr3e-6_bs20_ep10/eval_results.json
tsp_brain_low,4000,lr7e-6_bs20_ep10,DNA2_tsp_brain_low_4000_lr7e-6_bs20_ep10,73.48,73.47,73.47,46.95,73.47,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_low/4000/lr7e-6_bs20_ep10/results/DNA2_tsp_brain_low_4000_lr7e-6_bs20_ep10/eval_results.json
tsp_brain_null,2000,lr5e-6_bs20_ep10,DNA2_tsp_brain_null_2000_lr5e-6_bs20_ep10,80.26,80.23,80.22,60.49,80.23,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_null/2000/lr5e-6_bs20_ep10/results/DNA2_tsp_brain_null_2000_lr5e-6_bs20_ep10/eval_results.json
tsp_brain_null,2000,lr3e-6_bs20_ep10,DNA2_tsp_brain_null_2000_lr3e-6_bs20_ep10,77.84,77.81,77.81,55.66,77.81,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_null/2000/lr3e-6_bs20_ep10/results/DNA2_tsp_brain_null_2000_lr3e-6_bs20_ep10/eval_results.json
tsp_brain_null,2000,lr7e-6_bs20_ep10,DNA2_tsp_brain_null_2000_lr7e-6_bs20_ep10,79.93,79.9,79.9,59.83,79.9,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_null/2000/lr7e-6_bs20_ep10/results/DNA2_tsp_brain_null_2000_lr7e-6_bs20_ep10/eval_results.json
tsp_brain_null,3000,lr5e-6_bs20_ep10,DNA2_tsp_brain_null_3000_lr5e-6_bs20_ep10,81.72,81.03,80.92,62.75,81.03,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_null/3000/lr5e-6_bs20_ep10/results/DNA2_tsp_brain_null_3000_lr5e-6_bs20_ep10/eval_results.json
tsp_brain_null,3000,lr3e-6_bs20_ep10,DNA2_tsp_brain_null_3000_lr3e-6_bs20_ep10,81.21,81.19,81.19,62.4,81.19,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_null/3000/lr3e-6_bs20_ep10/results/DNA2_tsp_brain_null_3000_lr3e-6_bs20_ep10/eval_results.json
tsp_brain_null,3000,lr7e-6_bs20_ep10,DNA2_tsp_brain_null_3000_lr7e-6_bs20_ep10,80.74,80.71,80.7,61.45,80.71,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_null/3000/lr7e-6_bs20_ep10/results/DNA2_tsp_brain_null_3000_lr7e-6_bs20_ep10/eval_results.json
tsp_brain_null,4000,lr5e-6_bs20_ep10,DNA2_tsp_brain_null_4000_lr5e-6_bs20_ep10,79.69,79.1,78.99,58.79,79.1,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_null/4000/lr5e-6_bs20_ep10/results/DNA2_tsp_brain_null_4000_lr5e-6_bs20_ep10/eval_results.json
tsp_brain_null,4000,lr3e-6_bs20_ep10,DNA2_tsp_brain_null_4000_lr3e-6_bs20_ep10,80.07,80.06,80.06,60.13,80.06,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_null/4000/lr3e-6_bs20_ep10/results/DNA2_tsp_brain_null_4000_lr3e-6_bs20_ep10/eval_results.json
tsp_brain_null,4000,lr7e-6_bs20_ep10,DNA2_tsp_brain_null_4000_lr7e-6_bs20_ep10,80.47,80.06,80.0,60.54,80.06,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_null/4000/lr7e-6_bs20_ep10/results/DNA2_tsp_brain_null_4000_lr7e-6_bs20_ep10/eval_results.json
tsp_brain_tenh,2000,lr3e-4_bs35_ep10,DNA2_tsp_brain_tenh_2000_lr3e-4_bs35_ep10,25.0,50.0,33.33,0.0,50.0,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_tenh/2000/lr3e-4_bs35_ep10/results/DNA2_tsp_brain_tenh_2000_lr3e-4_bs35_ep10/eval_results.json
tsp_brain_tenh,2000,lr5e-6_bs20_ep10,DNA2_tsp_brain_tenh_2000_lr5e-6_bs20_ep10,66.33,65.59,65.2,31.92,65.59,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_tenh/2000/lr5e-6_bs20_ep10/results/DNA2_tsp_brain_tenh_2000_lr5e-6_bs20_ep10/eval_results.json
tsp_brain_tenh,2000,lr3e-6_bs20_ep10,DNA2_tsp_brain_tenh_2000_lr3e-6_bs20_ep10,66.25,66.24,66.23,32.49,66.24,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_tenh/2000/lr3e-6_bs20_ep10/results/DNA2_tsp_brain_tenh_2000_lr3e-6_bs20_ep10/eval_results.json
tsp_brain_tenh,2000,lr1e-4_bs35_ep10,DNA2_tsp_brain_tenh_2000_lr1e-4_bs35_ep10,25.0,50.0,33.33,0.0,50.0,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_tenh/2000/lr1e-4_bs35_ep10/results/DNA2_tsp_brain_tenh_2000_lr1e-4_bs35_ep10/eval_results.json
tsp_brain_tenh,2000,lr7e-6_bs20_ep10,DNA2_tsp_brain_tenh_2000_lr7e-6_bs20_ep10,67.16,66.24,65.78,33.38,66.24,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_tenh/2000/lr7e-6_bs20_ep10/results/DNA2_tsp_brain_tenh_2000_lr7e-6_bs20_ep10/eval_results.json
tsp_brain_tenh,2000,lr3e-5_bs35_ep10,DNA2_tsp_brain_tenh_2000_lr3e-5_bs35_ep10,64.8,64.79,64.78,29.59,64.79,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_tenh/2000/lr3e-5_bs35_ep10/results/DNA2_tsp_brain_tenh_2000_lr3e-5_bs35_ep10/eval_results.json
tsp_brain_tenh,2000,lr1e-5_bs35_ep10,DNA2_tsp_brain_tenh_2000_lr1e-5_bs35_ep10,63.81,63.67,63.57,27.48,63.67,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_tenh/2000/lr1e-5_bs35_ep10/results/DNA2_tsp_brain_tenh_2000_lr1e-5_bs35_ep10/eval_results.json
tsp_brain_tenh,3000,lr5e-6_bs20_ep10,DNA2_tsp_brain_tenh_3000_lr5e-6_bs20_ep10,65.2,64.95,64.81,30.15,64.95,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_tenh/3000/lr5e-6_bs20_ep10/results/DNA2_tsp_brain_tenh_3000_lr5e-6_bs20_ep10/eval_results.json
tsp_brain_tenh,3000,lr3e-6_bs20_ep10,DNA2_tsp_brain_tenh_3000_lr3e-6_bs20_ep10,64.66,64.31,64.09,28.96,64.31,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_tenh/3000/lr3e-6_bs20_ep10/results/DNA2_tsp_brain_tenh_3000_lr3e-6_bs20_ep10/eval_results.json
tsp_brain_tenh,3000,lr7e-6_bs20_ep10,DNA2_tsp_brain_tenh_3000_lr7e-6_bs20_ep10,64.81,64.47,64.27,29.28,64.47,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_tenh/3000/lr7e-6_bs20_ep10/results/DNA2_tsp_brain_tenh_3000_lr7e-6_bs20_ep10/eval_results.json
tsp_brain_wide,2000,lr5e-6_bs20_ep10,DNA2_tsp_brain_wide_2000_lr5e-6_bs20_ep10,76.89,76.85,76.84,53.74,76.85,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_wide/2000/lr5e-6_bs20_ep10/results/DNA2_tsp_brain_wide_2000_lr5e-6_bs20_ep10/eval_results.json
tsp_brain_wide,2000,lr3e-6_bs20_ep10,DNA2_tsp_brain_wide_2000_lr3e-6_bs20_ep10,76.22,76.21,76.2,52.42,76.21,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_wide/2000/lr3e-6_bs20_ep10/results/DNA2_tsp_brain_wide_2000_lr3e-6_bs20_ep10/eval_results.json
tsp_brain_wide,2000,lr7e-6_bs20_ep10,DNA2_tsp_brain_wide_2000_lr7e-6_bs20_ep10,77.57,77.33,77.28,54.9,77.33,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_wide/2000/lr7e-6_bs20_ep10/results/DNA2_tsp_brain_wide_2000_lr7e-6_bs20_ep10/eval_results.json
tsp_brain_wide,3000,lr5e-6_bs20_ep10,DNA2_tsp_brain_wide_3000_lr5e-6_bs20_ep10,77.13,77.01,76.98,54.14,77.01,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_wide/3000/lr5e-6_bs20_ep10/results/DNA2_tsp_brain_wide_3000_lr5e-6_bs20_ep10/eval_results.json
tsp_brain_wide,3000,lr3e-6_bs20_ep10,DNA2_tsp_brain_wide_3000_lr3e-6_bs20_ep10,74.49,72.83,72.36,47.29,72.83,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_wide/3000/lr3e-6_bs20_ep10/results/DNA2_tsp_brain_wide_3000_lr3e-6_bs20_ep10/eval_results.json
tsp_brain_wide,3000,lr7e-6_bs20_ep10,DNA2_tsp_brain_wide_3000_lr7e-6_bs20_ep10,77.17,77.17,77.17,54.34,77.17,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_wide/3000/lr7e-6_bs20_ep10/results/DNA2_tsp_brain_wide_3000_lr7e-6_bs20_ep10/eval_results.json
tsp_brain_wide,4000,lr5e-6_bs10_ep10,DNA2_tsp_brain_wide_4000_lr5e-6_bs10_ep10,79.75,79.74,79.74,59.5,79.74,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_wide/4000/lr5e-6_bs10_ep10/results/DNA2_tsp_brain_wide_4000_lr5e-6_bs10_ep10/eval_results.json
tsp_brain_wide,4000,lr3e-6_bs10_ep10,DNA2_tsp_brain_wide_4000_lr3e-6_bs10_ep10,78.87,78.62,78.57,57.49,78.62,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_wide/4000/lr3e-6_bs10_ep10/results/DNA2_tsp_brain_wide_4000_lr3e-6_bs10_ep10/eval_results.json
tsp_brain_wide,4000,lr7e-6_bs10_ep10,DNA2_tsp_brain_wide_4000_lr7e-6_bs10_ep10,79.43,79.42,79.42,58.85,79.42,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_brain_wide/4000/lr7e-6_bs10_ep10/results/DNA2_tsp_brain_wide_4000_lr7e-6_bs10_ep10/eval_results.json
tsp_liver_low,2000,lr3e-4_bs35_ep10,DNA2_tsp_liver_low_2000_lr3e-4_bs35_ep10,25.0,50.0,33.33,0.0,50.0,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_low/2000/lr3e-4_bs35_ep10/results/DNA2_tsp_liver_low_2000_lr3e-4_bs35_ep10/eval_results.json
tsp_liver_low,2000,lr5e-6_bs20_ep10,DNA2_tsp_liver_low_2000_lr5e-6_bs20_ep10,71.1,71.07,71.07,42.17,71.07,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_low/2000/lr5e-6_bs20_ep10/results/DNA2_tsp_liver_low_2000_lr5e-6_bs20_ep10/eval_results.json
tsp_liver_low,2000,lr3e-6_bs20_ep10,DNA2_tsp_liver_low_2000_lr3e-6_bs20_ep10,71.52,71.49,71.48,43.01,71.49,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_low/2000/lr3e-6_bs20_ep10/results/DNA2_tsp_liver_low_2000_lr3e-6_bs20_ep10/eval_results.json
tsp_liver_low,2000,lr1e-4_bs35_ep10,DNA2_tsp_liver_low_2000_lr1e-4_bs35_ep10,74.57,73.97,73.81,48.54,73.97,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_low/2000/lr1e-4_bs35_ep10/results/DNA2_tsp_liver_low_2000_lr1e-4_bs35_ep10/eval_results.json
tsp_liver_low,2000,lr7e-6_bs20_ep10,DNA2_tsp_liver_low_2000_lr7e-6_bs20_ep10,74.69,73.55,73.24,48.23,73.55,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_low/2000/lr7e-6_bs20_ep10/results/DNA2_tsp_liver_low_2000_lr7e-6_bs20_ep10/eval_results.json
tsp_liver_low,2000,lr3e-5_bs35_ep10,DNA2_tsp_liver_low_2000_lr3e-5_bs35_ep10,74.27,71.49,70.65,45.68,71.49,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_low/2000/lr3e-5_bs35_ep10/results/DNA2_tsp_liver_low_2000_lr3e-5_bs35_ep10/eval_results.json
tsp_liver_low,2000,lr1e-5_bs35_ep10,DNA2_tsp_liver_low_2000_lr1e-5_bs35_ep10,76.89,76.86,76.85,53.75,76.86,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_low/2000/lr1e-5_bs35_ep10/results/DNA2_tsp_liver_low_2000_lr1e-5_bs35_ep10/eval_results.json
tsp_liver_low,3000,lr5e-6_bs20_ep10,DNA2_tsp_liver_low_3000_lr5e-6_bs20_ep10,67.14,65.7,64.97,32.81,65.7,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_low/3000/lr5e-6_bs20_ep10/results/DNA2_tsp_liver_low_3000_lr5e-6_bs20_ep10/eval_results.json
tsp_liver_low,3000,lr3e-6_bs20_ep10,DNA2_tsp_liver_low_3000_lr3e-6_bs20_ep10,65.31,65.29,65.28,30.6,65.29,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_low/3000/lr3e-6_bs20_ep10/results/DNA2_tsp_liver_low_3000_lr3e-6_bs20_ep10/eval_results.json
tsp_liver_low,3000,lr7e-6_bs20_ep10,DNA2_tsp_liver_low_3000_lr7e-6_bs20_ep10,71.18,70.66,70.48,41.84,70.66,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_low/3000/lr7e-6_bs20_ep10/results/DNA2_tsp_liver_low_3000_lr7e-6_bs20_ep10/eval_results.json
tsp_liver_low,4000,lr5e-6_bs20_ep10,DNA2_tsp_liver_low_4000_lr5e-6_bs20_ep10,70.29,68.18,67.33,38.41,68.18,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_low/4000/lr5e-6_bs20_ep10/results/DNA2_tsp_liver_low_4000_lr5e-6_bs20_ep10/eval_results.json
tsp_liver_low,4000,lr3e-6_bs20_ep10,DNA2_tsp_liver_low_4000_lr3e-6_bs20_ep10,65.43,64.88,64.56,30.3,64.88,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_low/4000/lr3e-6_bs20_ep10/results/DNA2_tsp_liver_low_4000_lr3e-6_bs20_ep10/eval_results.json
tsp_liver_low,4000,lr7e-6_bs20_ep10,DNA2_tsp_liver_low_4000_lr7e-6_bs20_ep10,65.72,65.29,65.05,31.0,65.29,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_low/4000/lr7e-6_bs20_ep10/results/DNA2_tsp_liver_low_4000_lr7e-6_bs20_ep10/eval_results.json
tsp_liver_null,2000,lr5e-6_bs20_ep10,DNA2_tsp_liver_null_2000_lr5e-6_bs20_ep10,72.83,72.73,72.7,45.55,72.73,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_null/2000/lr5e-6_bs20_ep10/results/DNA2_tsp_liver_null_2000_lr5e-6_bs20_ep10/eval_results.json
tsp_liver_null,2000,lr3e-6_bs20_ep10,DNA2_tsp_liver_null_2000_lr3e-6_bs20_ep10,71.07,71.07,71.07,42.15,71.07,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_null/2000/lr3e-6_bs20_ep10/results/DNA2_tsp_liver_null_2000_lr3e-6_bs20_ep10/eval_results.json
tsp_liver_null,2000,lr7e-6_bs20_ep10,DNA2_tsp_liver_null_2000_lr7e-6_bs20_ep10,72.0,71.9,71.87,43.9,71.9,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_null/2000/lr7e-6_bs20_ep10/results/DNA2_tsp_liver_null_2000_lr7e-6_bs20_ep10/eval_results.json
tsp_liver_null,3000,lr5e-6_bs20_ep10,DNA2_tsp_liver_null_3000_lr5e-6_bs20_ep10,63.65,62.81,62.23,26.45,62.81,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_null/3000/lr5e-6_bs20_ep10/results/DNA2_tsp_liver_null_3000_lr5e-6_bs20_ep10/eval_results.json
tsp_liver_null,3000,lr3e-6_bs20_ep10,DNA2_tsp_liver_null_3000_lr3e-6_bs20_ep10,61.71,61.57,61.46,23.28,61.57,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_null/3000/lr3e-6_bs20_ep10/results/DNA2_tsp_liver_null_3000_lr3e-6_bs20_ep10/eval_results.json
tsp_liver_null,3000,lr7e-6_bs20_ep10,DNA2_tsp_liver_null_3000_lr7e-6_bs20_ep10,64.17,64.05,63.98,28.22,64.05,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_null/3000/lr7e-6_bs20_ep10/results/DNA2_tsp_liver_null_3000_lr7e-6_bs20_ep10/eval_results.json
tsp_liver_null,4000,lr5e-6_bs20_ep10,DNA2_tsp_liver_null_4000_lr5e-6_bs20_ep10,65.13,63.22,62.02,28.29,63.22,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_null/4000/lr5e-6_bs20_ep10/results/DNA2_tsp_liver_null_4000_lr5e-6_bs20_ep10/eval_results.json
tsp_liver_null,4000,lr3e-6_bs20_ep10,DNA2_tsp_liver_null_4000_lr3e-6_bs20_ep10,71.14,64.46,61.42,34.97,64.46,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_null/4000/lr3e-6_bs20_ep10/results/DNA2_tsp_liver_null_4000_lr3e-6_bs20_ep10/eval_results.json
tsp_liver_null,4000,lr7e-6_bs20_ep10,DNA2_tsp_liver_null_4000_lr7e-6_bs20_ep10,70.94,70.25,70.0,41.18,70.25,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_null/4000/lr7e-6_bs20_ep10/results/DNA2_tsp_liver_null_4000_lr7e-6_bs20_ep10/eval_results.json
tsp_liver_tenh,2000,lr3e-4_bs35_ep10,DNA2_tsp_liver_tenh_2000_lr3e-4_bs35_ep10,70.44,67.36,66.08,37.67,67.36,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/unique_TSS/human_mouse/tsp_liver_tenh/2000/lr3e-4_bs35_ep10/results/DNA2_tsp_liver_tenh_2000_lr3e-4_bs35_ep10/eval_results.json
